ID,year,host,country,temp,precipitation,elevation,gold,silver,bronze,population,GDP,participate,athletes,time
1,1980,0,Albania ,53.6,143,2764,0,0,0,2.734776,,0,0,1
1,1984,0,Albania ,53.6,143,2764,0,0,0,3.001325,0.0641,0,0,2
1,1988,0,Albania ,53.6,143,2764,0,0,0,3.336434,0.0637,0,0,3
1,1992,0,Albania ,53.6,143,2764,0,0,0,3.446858,0.0206,0,0,4
1,1994,0,Albania ,53.6,143,2764,0,0,0,3.384367,0.0587,0,0,5
1,1998,0,Albania ,53.6,143,2764,0,0,0,3.325456,0.1363,0,0,6
1,2002,0,Albania ,53.6,143,2764,0,0,0,3.263596,0.1363,0,0,7
1,2006,0,Albania ,53.6,143,2764,0,0,0,3.179573,0.2872,1,1,8
1,2010,0,Albania ,53.6,143,2764,0,0,0,3.150143,0.3764,1,1,9
1,2014,0,Albania ,53.6,143,2764,0,0,0,3.162083,0.2872,1,2,10
2,1980,0,Algeria ,62.1,81.4,3003,0,0,0,19.475204,0.2174,0,0,1
2,1984,0,Algeria ,62.1,81.4,3003,0,0,0,22.150483,0.2424,0,0,2
2,1988,0,Algeria ,62.1,81.4,3003,0,0,0,24.904931,0.2373,0,0,3
2,1992,0,Algeria ,62.1,81.4,3003,0,0,0,27.535151,0.1743,1,4,4
2,1994,0,Algeria ,62.1,81.4,3003,0,0,0,28.752749,0.148,0,0,5
2,1998,0,Algeria ,62.1,81.4,3003,0,0,0,30.820435,0.1564,0,0,6
2,2002,0,Algeria ,62.1,81.4,3003,0,0,0,32.572977,0.1743,0,0,7
2,2006,0,Algeria ,62.1,81.4,3003,0,0,0,34.507214,0.3391,1,2,8
2,2010,0,Algeria ,62.1,81.4,3003,0,0,0,37.06282,0.435,1,1,9
2,2014,0,Algeria ,62.1,81.4,3003,0,0,0,38.481705,0.3391,0,0,10
3,1980,0,American Samoa,84.2,164.1,964,0,0,0,0.032456,,0,0,1
3,1984,0,American Samoa,84.2,164.1,964,0,0,0,0.037687,,0,0,2
3,1988,0,American Samoa,84.2,164.1,964,0,0,0,0.044049,,0,0,3
3,1992,0,American Samoa,84.2,164.1,964,0,0,0,0.049597,,0,0,4
3,1994,0,American Samoa,84.2,164.1,964,0,0,0,0.051807,,1,2,5
3,1998,0,American Samoa,84.2,164.1,964,0,0,0,0.055899,,0,0,6
3,2002,0,American Samoa,84.2,164.1,964,0,0,0,0.058729,,0,0,7
3,2006,0,American Samoa,84.2,164.1,964,0,0,0,0.058652,,0,0,8
3,2010,0,American Samoa,84.2,164.1,964,0,0,0,0.055636,,0,0,9
3,2014,0,American Samoa,84.2,164.1,964,0,0,0,0.055128,,0,0,10
4,1980,0,Andorra ,42.3,51,2946,0,0,0,0.036063,1.2378,1,3,1
4,1984,0,Andorra ,42.3,51,2946,0,0,0,0.042704,0.7729,1,2,2
4,1988,0,Andorra ,42.3,51,2946,0,0,0,0.050431,1.4305,1,4,3
4,1992,0,Andorra ,42.3,51,2946,0,0,0,0.058904,2.0542,1,5,4
4,1994,0,Andorra ,42.3,51,2946,0,0,0,0.062707,1.6227,1,6,5
4,1998,0,Andorra ,42.3,51,2946,0,0,0,0.063799,1.8996,1,3,6
4,2002,0,Andorra ,42.3,51,2946,0,0,0,0.071639,2.0327,1,3,7
4,2006,0,Andorra ,42.3,51,2946,0,0,0,0.081877,3.4485,1,3,8
4,2010,0,Andorra ,42.3,51,2946,0,0,0,0.077907,,1,6,9
4,2014,0,Andorra ,42.3,51,2946,0,0,0,0.07836,3.4485,1,6,10
5,1980,0,Argentina ,57,52.9,6960,0,0,0,28.120135,0.2737,1,12,1
5,1984,0,Argentina ,57,52.9,6960,0,0,0,29.886564,0.2646,1,18,2
5,1988,0,Argentina ,57,52.9,6960,0,0,0,31.713147,0.398,1,16,3
5,1992,0,Argentina ,57,52.9,6960,0,0,0,33.520803,0.6825,1,20,4
5,1994,0,Argentina ,57,52.9,6960,0,0,0,34.399343,0.7484,1,10,5
5,1998,0,Argentina ,57,52.9,6960,0,0,0,36.109342,0.8279,1,2,6
5,2002,0,Argentina ,57,52.9,6960,0,0,0,37.627545,0.2712,1,11,7
5,2006,0,Argentina ,57,52.9,6960,0,0,0,38.988923,0.549,1,9,8
5,2010,0,Argentina ,57,52.9,6960,0,0,0,40.374224,0.9133,1,7,9
5,2014,0,Argentina ,57,52.9,6960,0,0,0,41.086927,0.549,1,7,10
6,1980,0,Armenia ,33.1,22,4090,0,0,0,3.096298,,0,0,1
6,1984,0,Armenia ,33.1,22,4090,0,0,0,3.287588,,0,0,2
6,1988,0,Armenia ,33.1,22,4090,0,0,0,3.510439,,0,0,3
6,1992,0,Armenia ,33.1,22,4090,0,0,0,3.449497,0.0369,0,0,4
6,1994,0,Armenia ,33.1,22,4090,0,0,0,3.289943,0.04,1,2,5
6,1998,0,Armenia ,33.1,22,4090,0,0,0,3.112958,0.0608,1,7,6
6,2002,0,Armenia ,33.1,22,4090,0,0,0,3.047002,0.078,1,9,7
6,2006,0,Armenia ,33.1,22,4090,0,0,0,3.002911,0.2126,1,5,8
6,2010,0,Armenia ,33.1,22,4090,0,0,0,2.963496,0.3125,1,4,9
6,2014,0,Armenia ,33.1,22,4090,0,0,0,2.969081,0.2126,1,4,10
7,1980,0,Australia ,61.3,97.9,2229,0,0,0,14.692,1.0207,1,9,1
7,1984,0,Australia ,61.3,97.9,2229,0,0,0,15.544,1.2455,1,10,2
7,1988,0,Australia ,61.3,97.9,2229,0,0,0,16.5322,1.4331,1,24,3
7,1992,0,Australia ,61.3,97.9,2229,0,0,0,17.495,1.8599,1,21,4
7,1994,0,Australia ,61.3,97.9,2229,0,0,1,17.855,1.8081,1,25,5
7,1998,0,Australia ,61.3,97.9,2229,0,0,1,18.711,2.1352,1,23,6
7,2002,0,Australia ,61.3,97.9,2229,2,0,0,19.6514,2.0072,1,27,7
7,2006,0,Australia ,61.3,97.9,2229,1,0,1,20.6979,3.6113,1,40,8
7,2010,0,Australia ,61.3,97.9,2229,2,1,0,22.0318,5.1825,1,40,9
7,2014,0,Australia ,61.3,97.9,2229,0,2,1,22.722,3.6113,1,60,10
8,1980,0,Austria ,36,37.2,3798,3,2,2,7.549433,1.0758,1,43,1
8,1984,0,Austria ,36,37.2,3798,0,0,1,7.561434,0.8899,1,65,2
8,1988,0,Austria ,36,37.2,3798,3,5,2,7.585317,1.7398,1,93,3
8,1992,0,Austria ,36,37.2,3798,6,7,8,7.840709,2.4625,1,58,4
8,1994,0,Austria ,36,37.2,3798,2,3,4,7.936118,2.5383,1,80,5
8,1998,0,Austria ,36,37.2,3798,3,5,9,7.976789,2.6744,1,96,6
8,2002,0,Austria ,36,37.2,3798,3,4,10,8.081957,2.5679,1,90,7
